[2, 8, 3]
Found new best, iteration = 488000, Error = 0.29925320714713377
Found new best, iteration = 500000, Error = 0.2987782870383343
Found new best, iteration = 502000, Error = 0.2987295637974182
Found new best, iteration = 503000, Error = 0.2980561017938975
Found new best, iteration = 507000, Error = 0.2980083889723836
Found new best, iteration = 509000, Error = 0.2957794504874409
Found new best, iteration = 541000, Error = 0.29526973275148405
Found new best, iteration = 542000, Error = 0.29524714517786876
Found new best, iteration = 545000, Error = 0.2950454218825473
Found new best, iteration = 549000, Error = 0.2946046486255286
Found new best, iteration = 551000, Error = 0.2934552632712632
Found new best, iteration = 560000, Error = 0.29305652623244904
Found new best, iteration = 563000, Error = 0.2911936671909233
Found new best, iteration = 578000, Error = 0.2907831928602793
Found new best, iteration = 580000, Error = 0.29067882400423384
Found new best, iteration = 585000, Error = 0.2903721036167562
Found new best, iteration = 586000, Error = 0.2884086545168637
Found new best, iteration = 607000, Error = 0.28758001503973457
Found new best, iteration = 611000, Error = 0.28754188459707697
Found new best, iteration = 612000, Error = 0.2871768031127291
Found new best, iteration = 614000, Error = 0.2862807480298965
Found new best, iteration = 615000, Error = 0.2856915523341239
Found new best, iteration = 616000, Error = 0.2855615196248378
Found new best, iteration = 618000, Error = 0.28533491570596103
Found new best, iteration = 619000, Error = 0.2847314257436361
Found new best, iteration = 620000, Error = 0.28300253628177685
Found new best, iteration = 629000, Error = 0.282064687216393
Found new best, iteration = 631000, Error = 0.2813601902746436
Found new best, iteration = 633000, Error = 0.2796336647406489
Found new best, iteration = 640000, Error = 0.27880532627628685
Found new best, iteration = 645000, Error = 0.2787619169744434
Found new best, iteration = 646000, Error = 0.2779132667658553
Found new best, iteration = 654000, Error = 0.2776986214980018
Found new best, iteration = 673000, Error = 0.2776748990283995
Found new best, iteration = 674000, Error = 0.27747513427602527
Found new best, iteration = 680000, Error = 0.27687283856667266
Found new best, iteration = 681000, Error = 0.2761702576302967
Found new best, iteration = 686000, Error = 0.27569421931133986
Found new best, iteration = 694000, Error = 0.27550649466576493
Found new best, iteration = 695000, Error = 0.2741183624310719
Found new best, iteration = 696000, Error = 0.27329790138443166
